,accuracy,precision,recall,f1
Baseline (LogReg),0.7228924471740878,0.7477507497500833,0.6635127143701951,0.7031176562744791
Random Forest,0.6849455289902756,0.678027556200145,0.6911590774689533,0.6845303462918222
XGBoost (Optuna),0.5570666081743072,0.5279537535635097,0.985659373151981,0.6876031353135313
